locality,Year,house_price
IRONBARK,2019,296000.00
IRYMPLE,2019,380000.00
IVANHOE,2019,1540000.00
IVANHOE EAST,2019,1765000.00
JACANA,2019,512500.00
JACKASS FLAT,2019,331500.00
JAMIESON,2019,311500.00
JAN JUC,2019,870000.00
JEERALANG NORTH,2019,235000.00
JEPARIT,2019,81000.00
JUNCTION VILLAGE,2019,483500.00
JUNORTOUN,2019,530000.00
KALIMNA,2019,292500.00
KALKALLO,2019,532500.00
KALLISTA,2019,700000.00
KALORAMA,2019,645000.00
KANGAROO FLAT,2019,340000.00
KANGAROO GROUND SOUTH,2019,815500.00
KANIVA,2019,169500.00
KEALBA,2019,596000.00
KEILOR,2019,836500.00
KEILOR DOWNS,2019,630000.00
KEILOR EAST,2019,835000.00
KEILOR LODGE,2019,740000.00
KEILOR PARK,2019,708000.00
KENNINGTON,2019,373500.00
KENSINGTON,2019,980000.00
KERANG,2019,170000.00
KEW,2019,2255000.00
KEW EAST,2019,1837000.00
KEW NORTH,2019,1833000.00
KEYSBOROUGH,2019,740000.00
KIALLA,2019,450000.00
KILCUNDA,2019,533000.00
KILLARA (WODONGA),2019,453500.00
KILMORE,2019,435000.00
KILSYTH,2019,642500.00
KILSYTH SOUTH,2019,761500.00
KINGLAKE,2019,555000.00
KINGS PARK,2019,510000.00
KINGSBURY,2019,660000.00
KINGSVILLE,2019,1010000.00
KNOXFIELD,2019,760000.00
KOO WEE RUP,2019,550000.00
KOONDROOK,2019,212500.00
KOROIT,2019,345000.00
KORUMBURRA,2019,319000.00
KURUNJANG,2019,420500.00
KYABRAM,2019,263000.00
KYNETON,2019,595000.00
LAKE BOGA,2019,239000.00
LAKE GARDENS,2019,552500.00
LAKE TYERS BEACH,2019,357500.00
LAKE WENDOUREE,2019,836500.00
LAKES ENTRANCE,2019,310000.00
LALOR,2019,590500.00
LANCEFIELD,2019,500000.00
LANG LANG,2019,495000.00
LANGWARRIN,2019,617500.00
LARA,2019,495000.00
LARA LAKE,2019,540000.00
LAUNCHING PLACE,2019,554000.00
LAVERTON,2019,529000.00
LAVERTON SOUTH,2019,622500.00
LEARMONTH,2019,331000.00
LENEVA,2019,426000.00
LEONGATHA,2019,367000.00
LEOPOLD,2019,510000.00
LILYDALE,2019,680000.00
LINTON,2019,256500.00
LISMORE,2019,144500.00
LOCH SPORT,2019,244000.00
LOCKINGTON,2019,222000.00
LONG GULLY,2019,280000.00
LONGWARRY,2019,405000.00
LORNE,2019,1295000.00
LOVELY BANKS,2019,570000.00
LOWER PLENTY,2019,905000.00
LUCAS,2019,431000.00
LUCKNOW,2019,275000.00
LYNBROOK,2019,623000.00
LYNDHURST,2019,665000.00
LYSTERFIELD,2019,956500.00
LYSTERFIELD SOUTH,2019,1045000.00
MACEDON,2019,800000.00
MACLEOD,2019,914500.00
MACS COVE,2019,300000.00
MADDINGLEY,2019,460000.00
MAFFRA,2019,255000.00
MAIDEN GULLY,2019,512500.00
MAIDSTONE,2019,779000.00
MALDON,2019,510000.00
MALLACOOTA,2019,406500.00
MALMSBURY,2019,475000.00
MALVERN,2019,2550000.00
MALVERN EAST,2019,1770000.00
MANANGATANG,2019,97000.00
MANIFOLD HEIGHTS,2019,715000.00
MANOR LAKES,2019,535000.00
MANSFIELD,2019,456000.00
MARENGO,2019,687500.00
MARIBYRNONG,2019,987500.00
MARONG,2019,420000.00
MARSHALL,2019,486500.00
MARYBOROUGH,2019,235500.00
MARYSVILLE,2019,462500.00
MCCRAE,2019,795000.00
MCKENZIE HILL,2019,536500.00
MCKINNON,2019,1525000.00
MEADOW HEIGHTS,2019,472500.00
