Country,Regional indicator,Ladderscore,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Index_corruption ,corruptionindex_10
Mali,Sub-Saharan Africa,4.73,0.064362764,4.855451107,4.603148937,7.63,0.731,51.727,0.71156615,-0.044366926,0.839328408,83.93
Nigeria,Sub-Saharan Africa,4.72,0.05211626,4.826248169,4.621952057,8.58,0.737,49.862,0.759578407,0.033745807,0.861874342,86.19
Armenia,Commonwealth of Independent States,4.68,0.058595356,4.791646481,4.561953068,9.10,0.757,66.751,0.712017834,-0.13877961,0.773544788,77.35
Georgia,Commonwealth of Independent States,4.67,0.043417413,4.757698059,4.587501526,9.23,0.629,64.495,0.801641524,-0.22892037,0.665944695,66.59
Iran,Middle East and North Africa,4.67,0.055878021,4.78192091,4.562879086,9.81,0.695,66.006,0.647873282,0.117891103,0.714635968,71.46
Jordan,Middle East and North Africa,4.63,0.058751218,4.748552322,4.518247604,9.03,0.802,66.800,0.75104779,-0.162565202,0.700344324,70.03
Mozambique,Sub-Saharan Africa,4.62,0.079284087,4.778996944,4.468203068,7.07,0.724,54.206,0.864451885,0.032375868,0.683019102,68.30
Kenya,Sub-Saharan Africa,4.58,0.067804985,4.715898037,4.450102329,8.03,0.703,60.097,0.829747558,0.294681519,0.831499159,83.15
Namibia,Sub-Saharan Africa,4.57,0.060983475,4.690628052,4.451572418,9.20,0.847,56.501,0.767520964,-0.18530646,0.851449788,85.14
Ukraine,Commonwealth of Independent States,4.56,0.049683895,4.658080578,4.463319302,9.01,0.879,64.607,0.663081884,-0.030933706,0.920636714,92.06
Liberia,Sub-Saharan Africa,4.56,0.081956357,4.71853447,4.397265434,7.05,0.709,56.096,0.735268712,0.04227322,0.856375933,85.64
Palestinian Territories,Middle East and North Africa,4.55,0.055874817,4.662314892,4.443285465,8.39,0.825,62.250,0.645791829,-0.162079096,0.824199975,82.42
Uganda,Sub-Saharan Africa,4.43,0.068495452,4.566251278,4.297749043,7.50,0.765,55.708,0.731713951,0.099487431,0.836737812,83.67
Chad,Sub-Saharan Africa,4.42,0.075231321,4.570153236,4.27524662,7.47,0.632,48.221,0.587305248,0.017834719,0.802760839,80.28
Tunisia,Middle East and North Africa,4.39,0.049670532,4.489554405,4.294845581,9.31,0.689,66.898,0.593361557,-0.216413811,0.867590249,86.76
Mauritania,Sub-Saharan Africa,4.37,0.055093341,4.482583046,4.266616821,8.23,0.791,57.010,0.551522553,-0.106008142,0.746223509,74.62
Sri Lanka,South Asia,4.33,0.053085525,4.431047916,4.222952366,9.39,0.825,67.200,0.837633669,0.081129618,0.859001756,85.90
Congo (Kinshasa),Sub-Saharan Africa,4.31,0.108998232,4.524636269,4.097363472,6.69,0.672,52.900,0.700793564,0.083637655,0.809403598,80.94
Swaziland,Sub-Saharan Africa,4.31,0.07145194,4.448145866,4.168054581,9.16,0.770,51.188,0.646822274,-0.19920142,0.708263338,70.83
Myanmar,Southeast Asia,4.31,0.042949215,4.392180443,4.223819733,8.68,0.784,58.962,0.895075202,0.560663998,0.645124316,64.51
Comoros,Sub-Saharan Africa,4.29,0.084340192,4.453906536,4.1232934,7.83,0.626,57.349,0.547612607,0.090008408,0.780622602,78.06
Togo,Sub-Saharan Africa,4.19,0.062506773,4.309713364,4.064686775,7.36,0.551,54.720,0.649828613,0.002667875,0.757733464,75.77
Ethiopia,Sub-Saharan Africa,4.19,0.038915094,4.262473583,4.109926701,7.51,0.743,58.640,0.740795195,0.043377332,0.753690004,75.37
